House Seat,Priority Value,State Abbreviation,State Seat
51,26404774,CA,2
52,17867470,TX,2
53,15244803,CA,3
54,13732760,NY,2
55,13364865,FL,2
56,10779704,CA,4
57,10315788,TX,3
58,9096490,IL,2
59,9004938,PA,2
60,8349923,CA,5
61,8180161,OH,2
62,7928613,NY,3
63,7716208,FL,3
64,7294364,TX,4
65,7008578,MI,2
66,6878428,GA,2
67,6817683,CA,6
68,6764029,NC,2
69,6227844,NJ,2
70,5761994,CA,7
71,5683538,VA,2
72,5650190,TX,5
73,5606376,NY,4
74,5456183,FL,4
75,5251861,IL,3
76,5199003,PA,3
77,4990033,CA,8
78,4775353,WA,2
79,4722818,OH,3
80,4638369,MA,2
81,4613361,TX,6
82,4597313,IN,2
83,4534464,AZ,2
84,4508110,TN,2
85,4400796,CA,9
86,4342680,NY,5
87,4250757,MO,2
88,4226341,FL,5
89,4094098,MD,2
90,4046404,MI,3
91,4029257,WI,2
92,3971262,GA,3
93,3936191,CA,10
94,3905214,NC,3
95,3899002,TX,7
96,3758187,MN,2
97,3713627,IL,4
98,3676250,PA,4
99,3595647,NJ,3
100,3567304,CO,2
101,3560419,CA,11
102,3545783,NY,6
103,3450793,FL,6
104,3396221,AL,2
105,3376634,TX,8
106,3339537,OH,4
107,3285200,SC,2
108,3281392,VA,3
109,3250203,CA,12
110,3220137,LA,2
111,3076343,KY,2
112,2996734,NY,7
113,2989752,CA,13
114,2977912,TX,9
115,2916453,FL,7
116,2876563,IL,5
117,2861240,MI,4
118,2847611,PA,5
119,2808106,GA,4
120,2767972,CA,14
121,2761403,NC,4
122,2757051,WA,3
123,2721375,OR,2
124,2677963,MA,3
125,2663525,TX,10
126,2662174,OK,2
127,2654260,IN,3
128,2617974,AZ,3
129,2602759,TN,3
130,2595248,NY,8
131,2586794,OH,5
132,2576842,CA,15
133,2542507,NJ,4
134,2532593,CT,2
135,2525722,FL,8
136,2454176,MO,3
137,2410415,CA,16
138,2409249,TX,11
139,2363729,MD,3
140,2348704,IL,6
141,2326293,WI,3
142,2325065,PA,6
143,2320295,VA,4
144,2288793,NY,9
145,2264191,CA,17
146,2227477,FL,9
147,2216307,MI,5
148,2199333,TX,12
149,2175150,GA,5
150,2169790,MN,3
151,2159353,IA,2
152,2138974,NC,5
153,2134699,CA,18
154,2112109,OH,6
155,2105934,MS,2
156,2069156,AR,2
157,2059584,CO,3
158,2047159,NY,10
159,2025022,KS,2
160,2023093,TX,13
161,2019224,CA,19
162,1992316,FL,10
163,1985017,IL,7
164,1969417,NJ,5
165,1965039,PA,7
166,1960809,AL,3
167,1959227,UT,2
168,1949530,WA,4
169,1915858,NV,2
170,1915604,CA,20
171,1896711,SC,3
172,1893606,MA,4
173,1876845,IN,4
174,1873020,TX,14
175,1859147,LA,3
176,1851725,NY,11
177,1851187,AZ,4
178,1840428,TN,4
179,1822102,CA,21
180,1809607,MI,6
181,1802118,FL,11
182,1797292,VA,5
183,1785058,OH,7
184,1776127,KY,3
185,1776002,GA,6
186,1746465,NC,6
187,1743687,TX,15
188,1737307,CA,22
189,1735364,MO,4
190,1719075,IL,8
191,1701773,PA,8
192,1690386,NY,12
193,1671409,MD,4
194,1660054,CA,23
195,1645101,FL,12
196,1644937,WI,4
197,1631069,TX,16
198,1608022,NJ,6
199,1589381,CA,24
200,1571187,OR,3
201,1554929,NY,13
202,1545905,OH,8
203,1537007,OK,3
204,1534273,MN,4
205,1532123,TX,17
206,1529397,MI,7
207,1524480,CA,25
208,1516082,IL,9
209,1513273,FL,13
210,1510099,WA,5
211,1500996,GA,7
212,1500823,PA,9
213,1476032,NC,7
214,1467483,VA,6
215,1466781,MA,5
216,1464673,CA,26
217,1462194,CT,3
218,1461783,NM,2
219,1456346,CO,4
220,1453798,IN,5
221,1444499,TX,18
222,1439584,NY,14
223,1433923,AZ,5
224,1425590,TN,5
225,1409383,CA,27
226,1401019,FL,14
227,1386501,AL,4
228,1366360,TX,19
229,1363360,OH,9
230,1359027,NJ,7
231,1358115,CA,28
232,1356025,IL,10
233,1344207,MO,5
234,1342377,PA,10
235,1341177,SC,4
236,1340180,NY,15
237,1324497,MI,8
238,1315088,WV,2
239,1314616,LA,4
240,1310447,CA,29
241,1304277,FL,15
242,1299901,GA,8
243,1296242,TX,20
244,1295296,NE,2
245,1294667,MD,5
246,1278281,NC,8
247,1274163,WI,5
248,1266012,CA,30
249,1255912,KY,4
250,1253624,NY,16
251,1246703,IA,3
252,1240250,VA,7
253,1232991,WA,6
254,1232973,TX,21
255,1226571,IL,11
256,1224492,CA,31
257,1220040,FL,16
258,1219426,OH,10
259,1215861,MS,3
260,1214226,PA,11
261,1197622,MA,6
262,1194628,AR,3
263,1188443,MN,5
264,1187021,IN,6
265,1185609,CA,32
266,1177574,NY,17
267,1176952,NJ,8
268,1175593,TX,22
269,1170793,AZ,6
270,1169147,KS,3
271,1168096,MI,9
272,1163989,TN,6
273,1149120,CA,33
274,1146405,GA,9
275,1146028,FL,17
276,1131160,UT,3
277,1128081,CO,5
278,1127338,NC,9
279,1123318,TX,23
280,1119701,IL,12
281,1114810,CA,34
282,1112632,ID,2
283,1110997,OR,4
284,1110228,NY,18
285,1108431,PA,12
286,1106121,NV,3
287,1103013,OH,11
288,1097541,MO,6
289,1086828,OK,4
290,1082490,CA,35
291,1080485,FL,18
292,1075495,TX,24
293,1074088,VA,8
294,1073979,AL,5
295,1057092,MD,6
296,1051991,CA,36
297,1050170,NY,19
298,1044777,MI,10
299,1042067,WA,7
300,1040350,WI,6
301,1038872,SC,5
302,1037974,NJ,9
303,1033927,CT,4
304,1031579,TX,25
305,1029975,IL,13
306,1025375,GA,10
307,1023164,CA,37
308,1022037,FL,19
309,1019608,PA,13
310,1018297,LA,5
311,1012175,MA,7
312,1008322,NC,10
313,1006908,OH,12
314,1003216,IN,7
315,996279,NY,20
316,995875,CA,38
317,991109,TX,26
318,989501,AZ,7
319,983750,TN,7
320,972825,KY,5
321,970360,MN,6
322,970004,CA,39
323,969589,FL,20
324,966517,HI,2
325,953695,TX,27
326,953571,IL,14
327,947650,NY,21
328,947256,VA,9
329,945443,CA,40
330,945036,MI,11
331,943974,PA,14
332,942626,ME,2
333,934403,NH,2
334,928392,NJ,10
335,927591,MO,7
336,927487,GA,11
337,926221,OH,13
338,922263,FL,21
339,922095,CA,41
340,921074,CO,6
341,919003,TX,28
342,912061,NC,11
343,903549,NY,22
344,902457,WA,8
345,899872,CA,42
346,893405,MD,7
347,887727,IL,15
348,886748,TX,29
349,881552,IA,4
350,879344,FL,22
351,879256,WI,7
352,878792,PA,15
353,878696,CA,43
354,876901,AL,6
355,876569,MA,8
356,868810,IN,8
357,863371,NY,23
358,862696,MI,12
359,860574,OR,5
360,859744,MS,4
361,858493,CA,44
362,857514,OH,14
363,856933,AZ,8
364,856680,TX,30
365,851953,TN,8
366,848235,SC,6
367,847252,VA,10
368,846676,GA,12
369,844730,AR,4
370,843961,NM,3
371,841853,OK,5
372,840242,FL,23
373,839762,NJ,11
374,839199,CA,45
